,# Days with AQI ,# Days Good,# Days Moderate,# Days Unhealthy for Sensitive Groups,# Days Unhealthy,# Days Very Unhealthy,# days Hazerdous,AQI Max,AQI 90th %ile,AQI Median,# Days CO,# Days NO2,# Days 03,# Days PM2.5,# Days PM10,17
,365,255,110,0,0,0,0,84,58,45,0,0,111,254,0,0
,365,228,137,0,0,0,0,78,57,46,0,0,60,305,0,0
,365,185,180,0,0,0,0,79,62,50,0,0,56,309,0,0
,365,250,115,0,0,0,0,88,57,44,0,0,78,287,0,0
,360,345,15,0,0,0,0,74,47,36,0,0,360,0,0,0
,358,344,14,0,0,0,0,93,46,32.5,0,0,358,0,0,0
,365,186,179,0,0,0,0,81,60,49,0,0,41,324,0,0
,365,160,204,1,0,0,0,129,64,52,0,0,75,290,0,0
,302,238,64,0,0,0,0,80,55,42,0,0,129,173,0,522
,170,155,15,0,0,0,0,84,49,38.5,0,0,166,0,0,0
,365,242,123,0,0,0,0,100,57,45,0,0,100,265,0,0
,362,292,70,0,0,0,0,84,54,41,0,0,124,238,0,0
,342,229,113,0,0,0,0,78,55,45,0,0,0,342,0,0
,365,137,228,0,0,0,0,93,64,53,0,1,46,318,0,0
,363,234,129,0,0,0,0,91,60,45,0,0,94,269,0,0
,363,264,99,0,0,0,0,87,56,44,0,0,132,231,0,0
,365,176,187,2,0,0,0,136,62,51,0,5,52,308,0,0
,347,277,70,0,0,0,0,82,53,40,0,0,109,238,0,0
,363,239,124,0,0,0,0,100,59,45,0,0,108,255,0,0
,363,259,104,0,0,0,0,93,55,44,0,0,114,249,0,0
,365,269,96,0,0,0,0,97,58,44,0,0,188,177,0,0
,323,321,2,0,0,0,0,58,27,16,0,0,0,0,0,0
,365,288,77,0,0,0,0,80,54,43,0,0,166,199,0,0
,365,218,147,0,0,0,0,99,59,46,0,0,94,271,0,0
,365,180,183,2,0,0,0,133,64,51,0,0,83,282,0,0
,365,287,77,1,0,0,0,108,54,42,0,0,109,256,0,0
,357,349,8,0,0,0,0,67,44,33,0,0,357,0,0,0
,349,337,11,1,0,0,0,112,46,33,0,0,349,0,0,0
,365,200,165,0,0,0,0,97,61,48,0,0,48,317,0,0
,365,165,199,1,0,0,0,126,65,51,0,0,88,277,0,0
,363,343,19,1,0,0,0,101,46,35,0,0,363,0,0,523
,241,218,23,0,0,0,0,84,50,37,0,0,234,0,7,0
,365,261,103,1,0,0,0,118,58,44,0,0,141,224,0,0
,365,270,94,1,0,0,0,104,57,40,0,0,126,239,0,0
,353,230,122,1,0,0,0,118,58,45,0,0,0,353,0,0
,365,152,211,2,0,0,0,124,67,52,0,0,54,311,0,0
,363,212,151,0,0,0,0,92,61,47,0,0,87,276,0,0
,365,275,89,1,0,0,0,101,58,42,0,0,214,151,0,0
,365,136,225,1,3,0,0,170,67,53,0,9,48,308,0,0
